Experiment,Workload,NKeys,ActiveCNs,ThreadsPerCN,TotalThreads,MemThreads,Coros,TotalTput(MOPs),MeanTput(MOPs),MaxTput(MOPs),MinTput(MOPs),MeanLatency(us),P95Latency(us),P99Latency(us),P999Latency(us)
"Fig11 fb MT3",fb,50000000,8,8,64,3,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT1",osm,50000000,8,1,8,1,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT1",osm,50000000,8,2,16,1,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT1",osm,50000000,8,4,32,1,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT1",osm,50000000,8,8,64,1,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT2",osm,50000000,8,1,8,2,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT2",osm,50000000,8,2,16,2,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT2",osm,50000000,8,4,32,2,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT2",osm,50000000,8,8,64,2,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT3",osm,50000000,8,1,8,3,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT3",osm,50000000,8,2,16,3,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT3",osm,50000000,8,4,32,3,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
"Fig11 osm MT3",osm,50000000,8,8,64,3,2,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
